Date,Day,Month,Year,DayOfWeek,ForecastRevenue
2024-12-31,31,12,2024,1,134001.2114000003
2025-01-01,1,1,2025,2,102704.05770000003
2025-01-02,2,1,2025,3,113520.70089999991
2025-01-03,3,1,2025,4,131630.49844999975
2025-01-04,4,1,2025,5,123800.57069999984
2025-01-05,5,1,2025,6,130947.1871499998
2025-01-06,6,1,2025,0,133393.54015000016
2025-01-07,7,1,2025,1,117198.93249999997
2025-01-08,8,1,2025,2,127469.01044999993
2025-01-09,9,1,2025,3,109372.71524999998
2025-01-10,10,1,2025,4,110548.64369999986
2025-01-11,11,1,2025,5,86401.58624999992
2025-01-12,12,1,2025,6,67511.23904999989
2025-01-13,13,1,2025,0,107799.17264999989
2025-01-14,14,1,2025,1,123315.60770000017
2025-01-15,15,1,2025,2,107191.03295000008
2025-01-16,16,1,2025,3,103846.64035000019
2025-01-17,17,1,2025,4,107045.49815000007
2025-01-18,18,1,2025,5,117757.47569999978
2025-01-19,19,1,2025,6,96360.2338
2025-01-20,20,1,2025,0,112475.97684999995
2025-01-21,21,1,2025,1,120133.14069999996
2025-01-22,22,1,2025,2,117350.32079999999
2025-01-23,23,1,2025,3,118552.62810000018
2025-01-24,24,1,2025,4,122174.91620000015
2025-01-25,25,1,2025,5,77841.69510000001
2025-01-26,26,1,2025,6,73691.18169999983
2025-01-27,27,1,2025,0,121518.53324999993
2025-01-28,28,1,2025,1,113948.73270000012
2025-01-29,29,1,2025,2,105243.47295000013
